anime_id,name,genre,type,rating,members
3016,Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,"Action, Drama, Military, Sci-Fi, Space",Manga,8.21,11808
3783,Kara no Kyoukai 3: Tsuukaku Zanryuu,"Action, Drama, Mystery, Supernatural, Thriller",Manga,8.21,108720
1430,Lupin III: Cagliostro no Shiro,"Adventure, Comedy, Shounen",Manga,8.2,32732
20371,Sekaiichi Hatsukoi Manga: Yokozawa Takafumi no Baai,"Comedy, Drama, Romance, Shounen Ai",Manga,8.2,23045
15039,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Manga,"Drama, Slice of Life, Supernatural",Manga,8.19,95241
24997,Love Live! The School Idol Manga,"Music, School, Slice of Life",Manga,8.18,38118
21419,Detective Conan Manga 18: The Sniper from Another Dimension,"Action, Mystery, Police, Shounen",Manga,8.17,12151
31149,Persona 3 the Manga 4: Winter of Rebirth,"Action, Fantasy, Seinen, Supernatural",Manga,8.17,13359
781,Detective Conan Manga 03: The Last Wizard of the Century,"Adventure, Comedy, Mystery, Police, Shounen",Manga,8.16,26799
1363,Detective Conan Manga 04: Captured in Her Eyes,"Adventure, Comedy, Mystery, Police, Shounen",Manga,8.16,25461
5029,Major Manga: Yuujou no Winning Shot,"Action, Shounen, Sports",Manga,8.16,9943
21647,Tamako Love Story,"Comedy, Romance, Slice of Life",Manga,8.16,72708
47,Akira,"Action, Adventure, Horror, Military, Sci-Fi, Supernatural",Manga,8.15,215897
30415,High☆Speed!: Free! Starting Days,"School, Slice of Life, Sports",Manga,8.15,24310
1943,Paprika,"Fantasy, Horror, Mystery, Psychological, Sci-Fi, Thriller",Manga,8.15,163308
20815,Sekaiichi Hatsukoi: Valentine-hen,"Comedy, Romance, Shounen Ai",Manga,8.14,13454
9963,Detective Conan Manga 15: Quarter of Silence,"Adventure, Comedy, Mystery, Police, Shounen",Manga,8.13,17165
32551,Digimon Adventure tri. 3: Kokuhaku,"Action, Adventure, Comedy, Drama",Manga,8.13,20989
14807,Kara no Kyoukai: Mirai Fukuin,"Drama, Mystery, Seinen, Supernatural",Manga,8.13,41168
9204,Omae Umasou da na,"Action, Adventure, Fantasy, Kids",Manga,8.13,6645
24921,Aoki Hagane no Arpeggio: Ars Nova Cadenza,"Action, Sci-Fi, Seinen",Manga,8.12,12353
4672,Ghost in the Shell 2.0,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Manga,8.12,51789
21469,Stand By Me Doraemon,"Comedy, Kids, Sci-Fi, Shounen",Manga,8.12,5712
29831,Tamayura: Sotsugyou Shashin Part 4 - Ashita,"Comedy, Drama, Slice of Life",Manga,8.1,3187
2154,Tekkon Kinkreet,"Action, Adventure, Psychological, Supernatural",Manga,8.11,46018
1689,Byousoku 5 Centimeter,"Drama, Romance, Slice of Life",Manga,8.1,324035
7711,Karigurashi no Arrietty,Fantasy,Manga,8.1,97910
12113,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",Manga,8.09,66721
3014,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,"Action, Historical, Military, Sci-Fi, Space",Manga,8.09,15069
1089,Macross: Do You Remember Love?,"Action, Mecha, Military, Music, Romance, Sci-Fi, Space",Manga,8.09,19240
4106,Trigun: Badlands Rumble,"Action, Comedy, Sci-Fi",Manga,8.08,68181
8142,Colorful (Manga),"Drama, Slice of Life, Supernatural",Manga,8.06,63263
7222,Macross F Manga 2: Sayonara no Tsubasa,"Action, Mecha, Military, Music, Romance, Sci-Fi, Space",Manga,8.06,17826
2623,Flanders no Inu (Manga),"Drama, Historical",Manga,8.05,8505
4280,Kara no Kyoukai 4: Garan no Dou,"Action, Mystery, Supernatural, Thriller",Manga,8.05,103600
18429,Lupin III vs. Detective Conan: The Manga,"Action, Comedy, Mystery, Shounen",Manga,8.05,10021
14353,Death Billiards,"Drama, Game, Mystery, Psychological, Thriller",Manga,8.04,95690
4985,Mahou Shoujo Lyrical Nanoha: The Manga 1st,"Action, Comedy, Drama, Magic, Super Power",Manga,8.04,20433
793,xxxHOLiC Manga: Manatsu no Yoru no Yume,"Comedy, Drama, Mystery, Psychological, Supernatural",Manga,8.04,41547
28755,Boruto: Naruto the Manga,"Action, Comedy, Martial Arts, Shounen, Super Power",Manga,8.03,74690
10029,Coquelicot-zaka kara,"Historical, Romance, School, Shoujo",Manga,8.03,50689
416,Kurenai no Buta,"Action, Adventure, Comedy, Drama, Historical, Military, Romance",Manga,8.03,74028
13119,Hakuouki Manga 2: Shikon Soukyuu,"Action, Drama, Historical, Josei, Samurai, Supernatural",Manga,8.03,9492
3782,Kara no Kyoukai 2: Satsujin Kousatsu (Zen),"Action, Mystery, Romance, Supernatural, Thriller",Manga,8.02,114415
12017,Tiger &amp; Bunny Manga 2: The Rising,"Action, Comedy, Mystery, Super Power",Manga,8.01,13567
780,Detective Conan Manga 02: The Fourteenth Target,"Adventure, Comedy, Mystery, Police, Shounen",Manga,8,26284
14349,Little Witch Academia,"Adventure, Comedy, Fantasy, Magic, School",Manga,8,111703
9465,Break Blade 4: Sanka no Chi,"Action, Fantasy, Mecha, Military, Shounen",Manga,7.99,41598
14175,Hanasaku Iroha: Home Sweet Home,"Comedy, Drama, Slice of Life",Manga,7.99,34630
2753,Ushiro no Shoumen Daare,"Drama, Historical",Manga,7.99,3811
779,Detective Conan Manga 01: The Timed Skyscraper,"Adventure, Comedy, Mystery, Police, Shounen",Manga,7.98,28947
1366,Detective Conan Manga 07: Crossroad in the Ancient Capital,"Adventure, Comedy, Mystery, Police, Shounen",Manga,7.98,21729
187,Initial D Third Stage,"Action, Cars, Drama, Seinen, Sports",Manga,7.98,39374
597,Neko no Ongaeshi,"Adventure, Drama, Fantasy",Manga,7.98,92499
12917,Madang-Eul Naon Amtalg,"Adventure, Drama, Fantasy, Kids",Manga,7.97,1528
15771,Saint☆Oniisan (Manga),"Comedy, Seinen, Slice of Life",Manga,7.97,30814
11001,Toshokan Sensou: Kakumei no Tsubasa,"Action, Comedy, Military, Romance",Manga,7.96,10244
9724,Break Blade 5: Shisen no Hate,"Action, Mecha, Military, Shounen",Manga,7.96,40053
21339,Psycho-Pass Manga,"Action, Military, Police, Sci-Fi",Manga,7.95,94677
543,Vampire Hunter D (2000),"Action, Drama, Fantasy, Horror, Romance, Sci-Fi, Vampire",Manga,7.95,68229
9252,Break Blade 3: Kyoujin no Ato,"Action, Fantasy, Mecha, Military, Shounen",Manga,7.94,42653
1505,Detective Conan Manga 09: Strategy Above the Depths,"Adventure, Comedy, Mystery, Police, Shounen",Manga,7.94,20347
4447,Detective Conan Manga 12: Full Score of Fear,"Adventure, Comedy, Mystery, Police, Shounen",Manga,7.94,19290
317,Final Fantasy VII: Advent Children,"Action, Fantasy, Super Power",Manga,7.94,138659
13117,Hakuouki Manga 1: Kyoto Ranbu,"Action, Drama, Historical, Josei, Samurai, Supernatural",Manga,7.94,12076
16904,K: Missing Kings,"Action, Super Power, Supernatural",Manga,7.94,98549
2273,Mobile Suit Gundam Wing: Endless Waltz Manga,"Action, Drama, Mecha, Military, Sci-Fi, Space",Manga,7.94,35711
2890,Gake no Ue no Ponyo,"Adventure, Fantasy",Manga,7.93,140277
468,Ghost in the Shell 2: Innocence,"Mecha, Military, Police, Psychological, Sci-Fi",Manga,7.93,85714
29755,Haikyuu!! Manga 1: Owari to Hajimari,"Comedy, Drama, School, Shounen, Sports",Manga,7.94,13094
5310,Macross F Manga 1: Itsuwari no Utahime,"Action, Mecha, Military, Music, Romance, Sci-Fi, Space",Manga,7.93,20637
2265,Transformers the Manga,"Action, Mecha",Manga,7.93,6540
23249,Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune,"Action, Drama, Military, Sci-Fi, Space",Manga,7.93,5431
10090,Ghost in the Shell: Stand Alone Complex - Solid State Society 3D,"Mecha, Military, Mystery, Police, Sci-Fi, Seinen",Manga,7.91,7515
1824,Hadashi no Gen,"Drama, Historical",Manga,7.92,16474
19489,Little Witch Academia: Mahoujikake no Parade,"Adventure, Comedy, Fantasy, Magic, School",Manga,7.92,53024
19613,New Initial D Manga: Legend 1 - Kakusei,"Action, Cars, Seinen, Sports",Manga,7.92,7695
10218,Berserk: Ougon Jidai-hen I - Haou no Tamago,"Action, Adventure, Demons, Fantasy, Military, Seinen, Supernatural",Manga,7.91,77103
1379,Kino no Tabi: Nanika wo Suru Tame ni - Life Goes On.,"Adventure, Drama, Fantasy",Manga,7.91,26746
23293,Lupin the IIIrd: Jigen Daisuke no Bohyou,"Action, Adventure, Comedy, Drama, Seinen",Manga,7.91,5939
33221,Mobile Suit Gundam Thunderbolt: December Sky,"Action, Drama, Mecha, Military, Sci-Fi, Space",Manga,7.92,2833
1961,Arashi no Yoru ni,"Adventure, Comedy, Drama, Fantasy",Manga,7.9,11458
2761,Densetsu Kyojin Ideon: Hatsudou-hen,"Drama, Mecha, Sci-Fi, Space",Manga,7.9,2963
28881,New Initial D Manga: Legend 2 - Tousou,"Cars, Seinen, Sports",Manga,7.9,4641
21473,Persona 3 the Manga 2: Midsummer Knight&#039;s Dream,"Action, Fantasy, Seinen, Supernatural",Manga,7.9,27462
451,InuYasha: Tenka Hadou no Ken,"Adventure, Comedy, Demons, Drama, Fantasy, Historical, Romance, Shounen, Supernatural",Manga,7.89,51079
433,"Kumo no Mukou, Yakusoku no Basho","Drama, Military, Romance, Sci-Fi",Manga,7.89,103975
1092,Mobile Suit Gundam III: Encounters in Space,"Action, Adventure, Drama, Mecha, Military, Sci-Fi, Space",Manga,7.89,11343
1921,Urusei Yatsura Manga 2: Beautiful Dreamer,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi",Manga,7.89,5663
11737,Ao no Exorcist Manga,"Action, Demons, Fantasy, Shounen, Supernatural",Manga,7.88,105183
875,Mind Game,"Adventure, Comedy, Dementia, Psychological, Romance",Manga,7.88,32756
29830,Tamayura: Sotsugyou Shashin Part 3 - Akogare,"Comedy, Drama, Slice of Life",Manga,7.88,3089
16870,The Last: Naruto the Manga,"Action, Martial Arts, Romance, Shounen, Super Power",Manga,7.88,85013
15197,Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,"Action, Mecha, Military",Manga,7.87,61020
570,Jin-Rou,"Drama, Military, Police, Psychological, Romance",Manga,7.87,62464
2175,Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,"Adventure, Drama, Fantasy",Manga,7.87,23453
2594,Piano no Mori,"Adventure, Comedy, Drama, Music, School, Seinen",Manga,7.87,24278
9790,Sora no Otoshimono: Tokeijikake no Angeloid,"Comedy, Drama, Ecchi, Harem, Romance, Sci-Fi, Shounen, Supernatural",Manga,7.87,70391
8514,Break Blade 2: Ketsubetsu no Michi,"Action, Fantasy, Mecha, Military, Shounen",Manga,7.86,44900
12117,Detective Conan Manga 16: The Eleventh Striker,"Adventure, Comedy, Mystery, Police, Shounen, Sports",Manga,7.86,14938
19115,Giovanni no Shima,"Drama, Historical",Manga,7.86,10115
29829,Tamayura: Sotsugyou Shashin Part 2 - Hibiki,"Comedy, Drama, Slice of Life",Manga,7.85,3304
30868,Ajin Part 1: Shoudou,"Action, Horror, Mystery, Seinen, Supernatural",Manga,7.84,22279
14735,Detective Conan Manga 17: Private Eye in the Distant Sea,"Adventure, Comedy, Mystery, Police, Shounen",Manga,7.84,12963
1462,Memories,"Drama, Horror, Psychological, Sci-Fi",Manga,7.84,38643
13667,Naruto: Shippuuden Manga 6 - Road to Ninja,"Action, Adventure, Martial Arts, Shounen, Super Power",Manga,7.84,87369
30413,Yowamushi Pedal Manga,"Comedy, Drama, Shounen, Sports",Manga,7.84,8838
33082,Kingsglaive: Final Fantasy XV,Action,Manga,7.83,15508
1096,Mobile Police Patlabor 2: The Manga,"Drama, Mecha, Mystery, Police, Sci-Fi",Manga,7.83,11957
14407,Persona 3 the Manga 1: Spring of Birth,"Action, Fantasy, Seinen, Supernatural",Manga,7.83,45568
10092,Break Blade 6: Doukoku no Toride,"Action, Mecha, Military, Shounen",Manga,7.82,39077
9785,Detective Conan: Conan vs. Kid - Shark &amp; Jewel,"Adventure, Comedy, Kids, Mystery, Police, Shounen",Manga,7.82,2688
1211,Macross Plus Manga Edition,"Action, Adventure, Mecha, Military, Romance, Sci-Fi, Space",Manga,7.82,8405
2397,Digimon Adventure: Bokura no War Game!,"Adventure, Comedy, Kids, Sci-Fi",Manga,7.81,37078
9760,Hoshi wo Ou Kodomo,"Adventure, Fantasy, Romance",Manga,7.81,76286
2593,Kara no Kyoukai 1: Fukan Fuukei,"Action, Mystery, Supernatural, Thriller",Manga,7.81,178880
2454,Kimagure Orange☆Road: Ano Hi ni Kaeritai,"Comedy, Drama, Romance, Shounen, Slice of Life",Manga,7.81,4368
87,Mobile Suit Gundam: Char&#039;s Counterattack,"Drama, Mecha, Military, Sci-Fi, Space",Manga,7.81,19258
30364,Haikyuu!! Manga 2: Shousha to Haisha,"Comedy, Drama, School, Shounen, Sports",Manga,7.81,10558
22819,Aikatsu! Manga,"Music, School, Shoujo, Slice of Life",Manga,7.79,2813
6772,Break Blade 1: Kakusei no Toki,"Action, Fantasy, Mecha, Military, Shounen",Manga,7.79,58184
2450,Crayon Shin-chan Manga 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,"Comedy, Ecchi, Kids, School, Shounen, Slice of Life",Manga,7.79,2688
6927,Higashi no Eden Soushuuhen: Air Communication,"Comedy, Mystery, Romance",Manga,7.79,20059
30952,New Initial D Manga: Legend 3 - Mugen,"Cars, Seinen, Sports",Manga,7.79,3479
6046,Tales of Vesperia: The First Strike,"Action, Adventure, Fantasy, Magic, Military",Manga,7.79,30524
9000,Toaru Hikuushi e no Tsuioku,"Adventure, Military, Romance",Manga,7.79,28857
10717,Towa no Quon 6: Towa no Quon,"Action, Super Power, Supernatural",Manga,7.79,18624
531,Bishoujo Senshi Sailor Moon R: The Manga,"Drama, Magic, Romance, Shoujo",Manga,7.78,33682
6637,Higashi no Eden Manga II: Paradise Lost,"Action, Comedy, Drama, Mystery, Romance, Thriller",Manga,7.78,87062
10389,Momo e no Tegami,"Drama, Supernatural",Manga,7.78,30519
2499,Slam Dunk: Hoero Basketman-damashii! Hanamichi to Rukawa no Atsuki Natsu,"Comedy, Drama, School, Shounen, Slice of Life, Sports",Manga,7.78,7856
32108,Digimon Adventure tri. 2: Ketsui,"Action, Adventure, Comedy, Drama",Manga,7.77,30684
3603,JoJo no Kimyou na Bouken: Phantom Blood,"Action, Adventure, Horror, Shounen, Vampire",Manga,7.77,8534
464,One Piece Manga 6: Omatsuri Danshaku to Himitsu no Shima,"Adventure, Comedy, Fantasy, Shounen",Manga,7.77,37792
9745,Sengoku Basara Manga: The Last Party,"Action, Historical, Martial Arts, Samurai, Super Power",Manga,7.77,18267
997,Bishoujo Senshi Sailor Moon S: Kaguya Hime no Koibito,"Adventure, Comedy, Drama, Fantasy, Magic, Romance, Shoujo",Manga,7.76,29394
28479,Detective Conan Manga 19: The Hellfire Sunflowers,"Action, Mystery, Police, Shounen",Manga,7.77,8600
1301,Ginga Tetsudou 999 (Manga),"Adventure, Drama, Fantasy, Sci-Fi, Space",Manga,7.76,7237
462,One Piece Manga 4: Dead End no Bouken,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power",Manga,7.76,39946
10715,Towa no Quon 4: Guren no Shoushin,"Action, Super Power, Supernatural",Manga,7.76,18545
8247,Bleach Manga 4: Jigoku-hen,"Action, Comedy, Shounen, Super Power, Supernatural",Manga,7.75,94074
450,InuYasha: Kagami no Naka no Mugenjo,"Adventure, Demons, Drama, Fantasy, Historical, Romance, Shounen, Supernatural",Manga,7.75,54854
6624,Kara no Kyoukai Remix: Gate of Seventh Heaven,"Action, Mystery, Romance, Super Power, Thriller",Manga,7.75,24735
25015,Kyoukai no Kanata Manga: I&#039;ll Be Here - Kako-hen,"Action, Fantasy, Supernatural",Manga,7.75,42304
23777,Shingeki no Kyojin Manga 2: Jiyuu no Tsubasa,"Action, Drama, Fantasy, Shounen, Super Power",Manga,7.75,26958
371,Cardcaptor Sakura Manga 1,"Comedy, Drama, Fantasy, Magic, Shoujo",Manga,7.74,56327
430,Fullmetal Alchemist: The Conqueror of Shamballa,"Comedy, Drama, Fantasy, Historical, Military, Shounen",Manga,7.74,186465
16528,Hal,"Romance, Sci-Fi, Shoujo",Manga,7.74,50812
9288,Heartcatch Precure! Manga: Hana no Miyako de Fashion Show... Desu ka!?,"Fantasy, Kids, Magic, Shoujo",Manga,7.74,3309
6372,Higashi no Eden Manga I: The King of Eden,"Comedy, Drama, Mystery, Romance, Slice of Life, Thriller",Manga,7.74,101734
2313,Muumindani no Suisei,"Adventure, Comedy, Fantasy, Kids",Manga,7.74,4344
24543,Persona 3 the Manga 3: Falling Down,"Action, Fantasy, Seinen, Supernatural",Manga,7.74,19928
11531,UN-GO: Inga-ron,"Mystery, Supernatural",Manga,7.74,23340
10534,Doraemon Manga 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,"Adventure, Comedy, Fantasy, Kids, Shounen",Manga,7.73,1317
33513,Ansatsu Kyoushitsu: 365-nichi no Jikan,"Action, Comedy, School, Shounen",Manga,7.72,14896
905,Dragon Ball Z Manga 12: Fukkatsu no Fusion!! Gokuu to Vegeta,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Manga,7.72,56994
5204,Kara no Kyoukai 6: Boukyaku Rokuon,"Action, Magic, Mystery, Romance, Supernatural, Thriller",Manga,7.72,93803
1034,Ouritsu Uchuugun: Honneamise no Tsubasa,"Action, Drama, Military, Sci-Fi, Space",Manga,7.72,18469
10716,Towa no Quon 5: Souzetsu no Raifuku,"Action, Super Power, Supernatural",Manga,7.72,18060
1924,Urusei Yatsura Manga 5: Final,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi",Manga,7.72,2783
3785,Evangelion: 3.0 You Can (Not) Redo,"Action, Mecha, Sci-Fi",Manga,7.71,135318
10999,Inazuma Eleven Go: Kyuukyoku no Kizuna Gryphon,"Sci-Fi, Shounen, Sports",Manga,7.71,4535
10500,Ojiisan no Lamp,"Drama, Historical",Manga,7.71,11745
11743,Toaru Majutsu no Index: Endymion no Kiseki,"Action, Magic, Sci-Fi, Super Power",Manga,7.71,54873
12049,Fairy Tail Manga 1: Houou no Miko,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",Manga,7.7,77560
6152,Final Fantasy VII: Advent Children - Venice Film Festival Footage,"Action, Drama, Fantasy, Sci-Fi",Manga,7.7,6498
19191,Ghost in the Shell: Arise - Border:2 Ghost Whispers,"Mecha, Police, Psychological, Sci-Fi",Manga,7.7,24880
23775,Shingeki no Kyojin Manga 1: Guren no Yumiya,"Action, Drama, Fantasy, Shounen, Super Power",Manga,7.7,31990
9751,Strike Witches Manga,"Action, Ecchi, Magic, Military, Sci-Fi",Manga,7.7,23856
2202,Waga Seishun no Arcadia,"Action, Adventure, Drama, Sci-Fi, Space",Manga,7.7,4415
452,InuYasha: Toki wo Koeru Omoi,"Adventure, Comedy, Demons, Drama, Fantasy, Historical, Romance, Shounen, Super Power",Manga,7.69,51354
32869,Kuroko no Basket Manga 1: Winter Cup Soushuuhen - Kage to Hikari,"School, Shounen, Sports",Manga,7.69,7573
6172,Layton Kyouju to Eien no Utahime,Mystery,Manga,7.69,12867
2498,Slam Dunk: Shouhoku Saidai no Kiki! Moero Sakuragi Hanamichi,"Comedy, Drama, School, Shounen, Slice of Life, Sports",Manga,7.69,7834
25729,Tamayura: Sotsugyou Shashin Part 1 - Kizashi,"Comedy, Drama, Slice of Life",Manga,7.69,4467
14669,Aura: Maryuuin Kouga Saigo no Tatakai,"Comedy, Drama, Romance, School, Supernatural",Manga,7.67,22599
27411,Ghost in the Shell (2015),"Action, Mecha, Police, Psychological, Sci-Fi",Manga,7.67,19872
617,Juubee Ninpuuchou,"Adventure, Fantasy, Historical, Horror, Romance, Shounen, Supernatural",Manga,7.67,55697
4835,Bleach Manga 3: Fade to Black - Kimi no Na wo Yobu,"Action, Comedy, Shounen, Super Power, Supernatural",Manga,7.66,122373
8888,Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,"Action, Mecha, Military, Sci-Fi",Manga,7.66,91105
9786,Detective Conan: Conan vs. Kid - Jet Black Sniper,"Adventure, Comedy, Mystery, Police, Shounen",Manga,7.66,2119
25687,Digimon Adventure tri. 1: Saikai,"Action, Adventure, Comedy, Drama",Manga,7.66,58274
5290,Keroro Gunsou Manga 3: Tenkuu Daikessen de Arimasu!,"Comedy, Sci-Fi, Shounen",Manga,7.66,2430
528,Pokemon: Mewtwo no Gyakushuu,"Action, Adventure, Comedy, Drama, Fantasy, Kids",Manga,7.66,100089
